class_name,series,subject,chapter,lesson,source_name,source_url,document_url,official_status,accessibility_status,rights_review_status,selected_for_mvp,selection_reason,download_status,local_path,validation_status
Troisième,,Mathématiques,Calculs algébriques,Calcul littéral,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Calculs algébriques,Racines carrées,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Calculs algébriques,Calcul numérique,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Calculs algébriques,Équations et inéquations du premier degré dans R,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Fonctions,Applications affines,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Organisation des données,Statistique,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Géométrie du plan,Triangle rectangle,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Géométrie du plan,Propriétés de Thalès dans un triangle,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Géométrie du plan,Angles inscrits,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Géométrie du plan,Vecteurs et coordonnées,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Géométrie du plan,Équations de droites,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,Mathématiques,Géométrie de l'espace,Pyramides et cônes,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/04.%20Prog%20%C3%89duct%20MATHS%203e%20CND%200923.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,SVT,Nutrition chez l'Homme,Les aliments et l'Homme,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/Programmes/prg_secondaire/SVT/SVT_3eme.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,SVT,Nutrition chez l'Homme,La digestion des aliments,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/Programmes/prg_secondaire/SVT/SVT_3eme.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,SVT,Nutrition chez l'Homme,Le sang et la circulation sanguine,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/Programmes/prg_secondaire/SVT/SVT_3eme.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,SVT,Reproduction humaine,Grossesses précoces et prévention,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/Programmes/prg_secondaire/SVT/SVT_3eme.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,SVT,Infection au VIH,L'infection au VIH,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/Programmes/prg_secondaire/SVT/SVT_3eme.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,SVT,Sols,Caractéristiques et fertilité d'un sol,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/Programmes/prg_secondaire/SVT/SVT_3eme.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,SVT,Sols,Relations sols-plantes,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/Programmes/prg_secondaire/SVT/SVT_3eme.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Troisième,,SVT,Sols,Dégradation protection et amélioration des sols,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/Programmes/prg_secondaire/SVT/SVT_3eme.pdf,official,public_pdf,pending,true,Programme Troisième prioritaire,metadata_only,,source_verified
Terminale,C,Mathématiques,Programme complet,Inventaire à extraire du guide officiel,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/13.%20Prog%20Educt%20maths%20TC%20CND%200923.pdf,official,public_pdf,pending,true,Terminale C ciblée,metadata_only,,source_verified
Terminale,D,Mathématiques,Programme complet,Inventaire à extraire du guide officiel,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/dpfc/programmes/maths/14.%20Prog%20Educt%20maths%20TD%20CND%200923.pdf,official,public_pdf,pending,true,Terminale D ciblée,metadata_only,,source_verified
Terminale,C,SVT,Programme complet,Inventaire à extraire du guide officiel,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/2018-2019/programmes_guides/SVT/PROGR_ED_SVT_2018-2019_TLE_C_APC.pdf,official,public_pdf,pending,true,Terminale C ciblée,metadata_only,,source_verified
Terminale,D,SVT,Programme complet,Inventaire à extraire du guide officiel,DPFC Programmes du secondaire,https://dpfc-ci.net/?page_id=283,https://dpfc-ci.net/wp-content/uploads//dpfc_fichiers/2018-2019/programmes_guides/SVT/PROGR_ED_SVT_2018-2019_TLE_D_APC.pdf,official,public_pdf,pending,true,Terminale D ciblée,metadata_only,,source_verified
