learner_id,event_date,grade,subject,activity_type,learning_style,connectivity,session_minutes,attempts,hints_used,accuracy,mastery_before,mastery_after,inactivity_days,completed,needs_remediation,origin
ELV-a6ed92940c,2026-01-09,Terminale C,Mathématiques,exercise,visuel,faible,22,2,2,0.4904,0.4565,0.5287,6,1,1,synthetic
ELV-a6ed92940c,2026-01-10,Terminale C,Physique-Chimie,course,visuel,faible,36,3,1,0.4856,0.4752,0.5752,8,1,1,synthetic
ELV-a6ed92940c,2026-01-11,Terminale C,SVT,course,visuel,faible,45,2,3,0.5113,0.504,0.5491,17,0,1,synthetic
ELV-a6ed92940c,2026-01-22,Terminale C,Mathématiques,course,visuel,faible,35,1,2,0.4222,0.3555,0.4321,10,1,1,synthetic
ELV-a6ed92940c,2026-01-24,Terminale C,Physique-Chimie,exercise,visuel,faible,32,3,2,0.4362,0.4326,0.4742,3,1,1,synthetic
ELV-a6ed92940c,2026-02-11,Terminale C,SVT,exercise,visuel,faible,37,3,1,0.65,0.5487,0.6708,34,1,1,synthetic
ELV-a6ed92940c,2026-02-05,Terminale C,Mathématiques,course,visuel,faible,46,3,3,0.3021,0.3051,0.3079,8,0,1,synthetic
ELV-a6ed92940c,2026-02-10,Terminale C,Physique-Chimie,laboratory,visuel,faible,27,2,3,0.4885,0.4436,0.5028,0,1,1,synthetic
ELV-c71853b9d0,2026-01-09,Terminale C,Physique-Chimie,exercise,auditif,bonne,39,2,1,0.6616,0.4905,0.5676,2,1,1,synthetic
ELV-c71853b9d0,2026-01-13,Terminale C,SVT,course,auditif,bonne,29,2,2,0.7736,0.6473,0.7311,4,1,0,synthetic
ELV-c71853b9d0,2026-01-15,Terminale C,Mathématiques,course,auditif,bonne,39,2,1,0.7469,0.651,0.748,6,1,0,synthetic
ELV-c71853b9d0,2026-01-18,Terminale C,Physique-Chimie,exam,auditif,bonne,33,2,3,0.6352,0.5391,0.5675,0,1,1,synthetic
ELV-c71853b9d0,2026-02-02,Terminale C,SVT,course,auditif,bonne,36,3,1,0.8323,0.6513,0.7763,0,1,0,synthetic
ELV-c71853b9d0,2026-01-29,Terminale C,Mathématiques,exercise,auditif,bonne,23,1,1,0.6924,0.5642,0.6363,5,1,0,synthetic
ELV-c71853b9d0,2026-02-13,Terminale C,Physique-Chimie,exercise,auditif,bonne,10,1,1,0.56,0.5691,0.6448,1,1,0,synthetic
ELV-c71853b9d0,2026-02-18,Terminale C,SVT,course,auditif,bonne,24,2,0,0.7923,0.7313,0.8606,1,1,0,synthetic
ELV-715ae8f7de,2026-01-05,Terminale C,SVT,course,pratique,faible,31,2,1,0.7629,0.7051,0.8103,1,1,0,synthetic
ELV-715ae8f7de,2026-01-17,Terminale C,Mathématiques,exercise,pratique,faible,44,2,2,0.5934,0.5769,0.6485,84,1,1,synthetic
ELV-715ae8f7de,2026-01-17,Terminale C,Physique-Chimie,exercise,pratique,faible,35,3,1,0.6566,0.5973,0.6817,0,1,0,synthetic
ELV-715ae8f7de,2026-01-22,Terminale C,SVT,course,pratique,faible,35,2,1,0.8569,0.7787,0.8588,17,1,1,synthetic
ELV-715ae8f7de,2026-01-19,Terminale C,Mathématiques,course,pratique,faible,23,1,1,0.7042,0.7212,0.7996,7,0,0,synthetic
ELV-715ae8f7de,2026-02-07,Terminale C,Physique-Chimie,exam,pratique,faible,32,2,2,0.7246,0.6684,0.7692,27,1,1,synthetic
ELV-715ae8f7de,2026-02-16,Terminale C,SVT,exercise,pratique,faible,18,2,2,0.6385,0.6895,0.7669,3,1,0,synthetic
ELV-715ae8f7de,2026-02-19,Terminale C,Mathématiques,exercise,pratique,faible,39,2,1,0.5839,0.6077,0.7178,21,0,1,synthetic
ELV-26c9659e1d,2026-01-06,Terminale C,Mathématiques,exercise,visuel,moyenne,43,2,2,0.518,0.4693,0.5397,4,1,1,synthetic
ELV-26c9659e1d,2026-01-09,Terminale C,Physique-Chimie,course,visuel,moyenne,31,3,2,0.4617,0.4997,0.5845,0,1,1,synthetic
ELV-26c9659e1d,2026-01-22,Terminale C,SVT,laboratory,visuel,moyenne,19,1,2,0.4028,0.3579,0.4353,6,1,1,synthetic
